HouseNumber,SRID_29193
4700,POINT (350802.045118 7350459.257184)
4600,POINT (350771.166959 7350365.712057)
4500,POINT (350735.757867 7350266.350654)
4400,POINT (350703.344740 7350169.976437)
4300,POINT (350665.364663 7350067.582992)
4200,POINT (350627.767535 7349933.073389)
4100,POINT (350596.932528 7349850.784298)
4000,POINT (350562.306332 7349751.593472)
3950,POINT (350529.948312 7349650.131963)
3850,POINT (350500.925678 7349565.762659)
(numeração prevista),POINT (348444.869612 7347282.162338)
RANDON,POINT (350474.416257 7349998.825318)
BRAZ TUBO,POINT (350430.341409 7349801.606060)
OU,POINT (350418.943067 7349802.528304)
CORREGATES ,POINT (350443.496094 7349908.374272)
CASA BERNARDO,POINT (350379.105860 7349718.848752)
CORREGATES ,POINT (350409.886302 7349809.269569)
PASSARELLI,POINT (350345.739260 7349619.826702)
3650,POINT (350439.203492 7349379.667990)
0100,POINT (348481.838558 7346332.293449)
0090,POINT (348474.176213 7346326.492891)
0080,POINT (348465.626685 7346321.095121)
0329,POINT (349512.344075 7347327.375609)
0331,POINT (349516.364703 7347323.960265)
0361,POINT (349537.456875 7347306.507241)
0351,POINT (349529.441358 7347312.493681)
0341,POINT (349521.643707 7347318.754665)
0321,POINT (349506.863656 7347332.195275)
0311,POINT (349499.066005 7347338.456258)
0301,POINT (349491.313812 7347344.680743)
0291,POINT (349483.470360 7347350.978448)
0281,POINT (349475.605896 7347357.155239)
0271,POINT (349466.827378 7347362.180188)
0261,POINT (349458.994143 7347368.396330)
0360,POINT (349563.500870 7347338.368404)
0350,POINT (349555.485352 7347344.354845)
0340,POINT (349547.919808 7347351.390339)
0330,POINT (349540.122158 7347357.651323)
0320,POINT (349532.324507 7347363.912307)
0310,POINT (349524.526856 7347370.173290)
0300,POINT (349516.774663 7347376.397775)
0290,POINT (349508.931210 7347382.695480)
0280,POINT (349500.418382 7347389.152087)
0270,POINT (349493.187550 7347396.188633)
0260,POINT (349485.354314 7347402.404774)
0061,POINT (352306.499628 7347248.585250)
0081,POINT (352297.092702 7347254.776926)
0111,POINT (352283.136493 7347262.960659)
0461,POINT (352196.497137 7347235.339232)
0431,POINT (352211.646509 7347257.115697)
0381,POINT (352220.596904 7347271.726532)
1697,POINT (350615.805592 7346531.625925)
1687,POINT (350605.511828 7346539.540084)
0210,POINT (349298.545350 7346129.022550)
0321,POINT (351900.057525 7347626.528977)
0381,POINT (351868.398011 7347641.492342)
320,POINT (351917.527561 7347597.755105)
0520,POINT (350395.560853 7346769.871100)
0560,POINT (350366.517601 7346734.293275)
0540,POINT (350381.247685 7346751.969010)
0650,POINT (350301.972655 7346654.773676)
0640,POINT (350308.707083 7346661.845444)
0651,POINT (350192.185642 7346741.504161)
0641,POINT (350198.920070 7346748.575929)
1671,POINT (350545.533973 7346502.170080)
1661,POINT (350539.918901 7346507.225928)
1651,POINT (350532.007566 7346512.732310)
1631,POINT (350515.858068 7346524.702138)
1621,POINT (350507.704066 7346530.913638)
1601,POINT (350499.736294 7346536.712498)
1591,POINT (350493.028858 7346544.038781)
1581,POINT (350485.106369 7346550.366281)
1571,POINT (350477.327759 7346556.360071)
1561,POINT (350470.016476 7346562.365677)
1511,POINT (350423.020747 7346602.474398)
1551,POINT (350447.536384 7346581.255405)
1531,POINT (350439.039017 7346589.285829)
1521,POINT (350430.471893 7346595.825507)
1501,POINT (350414.830130 7346607.931419)
1481,POINT (350406.675204 7346614.036669)
1471,POINT (350398.835142 7346620.280418)
1451,POINT (350391.228180 7346626.377234)
1441,POINT (350383.743688 7346632.668667)
1431,POINT (350374.700805 7346638.661832)
1421,POINT (350366.680535 7346644.044306)
1411,POINT (350358.179630 7346651.645887)
1401,POINT (350349.175815 7346658.912867)
1391,POINT (350340.003444 7346665.451402)
1640,POINT (350528.653800 7346494.541196)
1630,POINT (350518.404456 7346502.392111)
1620,POINT (350510.005078 7346510.012785)
1600,POINT (350500.480514 7346517.169950)
1590,POINT (350490.727974 7346524.827765)
1580,POINT (350482.171525 7346531.709465)
1570,POINT (350474.392915 7346537.703254)
1560,POINT (350467.081633 7346543.708861)
1550,POINT (350438.653155 7346563.932135)
1530,POINT (350429.231394 7346570.478379)
1520,POINT (350419.303107 7346579.180971)
1500,POINT (350410.363650 7346586.871721)
1480,POINT (350400.596388 7346594.676780)
1470,POINT (350392.391718 7346601.180940)
1450,POINT (350384.447591 7346607.555035)
1440,POINT (350376.744824 7346613.818256)
1430,POINT (350367.736631 7346620.643906)
1420,POINT (350358.418213 7346627.470112)
1410,POINT (350348.706048 7346635.797525)
1400,POINT (350339.708370 7346643.556492)
1390,POINT (350330.132469 7346650.095026)
1330,POINT (350286.540618 7346685.961713)
1260,POINT (350225.198911 7346733.764521)
1191,POINT (350192.750350 7346787.701390)
